"id","sessionId","promptId","name"
"1","368","2","Reduce the sharpness of the treble."
"2","437","6","Lower the levels of harsh or aggressive audio elements that may cause stress."
"3","22","20","Enhance the clarity of the vocal track."
"4","104","11","Enhance the depth and power of the bass."
"5","327","11","Enhance the depth and power of the bass."
"6","59","0","Enhance the high-end details in the audio."
"7","395","16","Adjust the audio to highlight previously unnoticed instruments."
"8","122","12","Calibrate the sound to prevent harshness, especially when playing piano tracks."
"9","166","28","Ensure the sharpness of the instrument sounds is enhanced."
"10","165","22","Ensure the audio has a rich and engaging sound profile."
"11","458","25","Ensure the drums are distinctly audible."
"12","258","1","I want a full, rich sound."
"13","358","15","Provide clear and distinct audio playback for music."
"14","224","2","Reduce the sharpness of the treble."
"15","409","12","Calibrate the sound to prevent harshness, especially when playing piano tracks."
"16","229","2","Reduce the sharpness of the treble."
"17","265","26","Ensure the narrator's voice is clear."
"18","466","21","Adjust the audio settings to create a feel-good atmosphere."
"19","324","21","Adjust the audio settings to create a feel-good atmosphere."
"20","246","5","Optimize vocal balance for acapella performances."
"21","111","24","Ensure the audio has a smooth and soothing character that aids concentration."
"22","234","24","Ensure the audio has a smooth and soothing character that aids concentration."
"23","182","4","Enhance vocal clarity in the audio."
"24","423","17","Increase the separation between instruments and voices to add airiness."
"25","411","22","Ensure the audio has a rich and engaging sound profile."
"26","129","25","Ensure the drums are distinctly audible."
"27","437","18","Make the solo more prominent."
"28","3","5","Optimize vocal balance for acapella performances."
"29","98","7","Adjust the sound to emphasize the intricacies of vocal harmonization."
"30","298","16","Adjust the audio to highlight previously unnoticed instruments."
"31","387","23","Transition the sound ambiance to reflect the vibrancy of summer."
"32","350","18","Make the solo more prominent."
"33","192","4","Enhance vocal clarity in the audio."
"34","126","23","Transition the sound ambiance to reflect the vibrancy of summer."
"35","202","1","I want a full, rich sound."
"36","238","23","Transition the sound ambiance to reflect the vibrancy of summer."
"37","453","10","Optimize vocal presence for an immersive storytelling experience."
"38","149","28","Ensure the sharpness of the instrument sounds is enhanced."
"39","8","13","Adjust the sound so I can hear the instructions better."
"40","22","7","Adjust the sound to emphasize the intricacies of vocal harmonization."
"41","231","4","Enhance vocal clarity in the audio."
"42","211","13","Adjust the sound so I can hear the instructions better."
"43","286","27","Enhance the clarity of sound to ensure nostalgia is amplified by crisp audio quality."
"44","341","19","Enhance the liveliness of the narrator's voice delivery."
"45","177","29","Balance the audio to ensure the backing vocals are not overshadowed by the lead vocals."
"46","178","28","Ensure the sharpness of the instrument sounds is enhanced."
"47","184","2","Reduce the sharpness of the treble."
"48","114","7","Adjust the sound to emphasize the intricacies of vocal harmonization."
"49","23","25","Ensure the drums are distinctly audible."
"50","480","13","Adjust the sound so I can hear the instructions better."
"51","310","11","Enhance the depth and power of the bass."
"52","90","9","Increase the music's presence to create a sensation of solitude."
"53","226","4","Enhance vocal clarity in the audio."
"54","460","5","Optimize vocal balance for acapella performances."
"55","377","12","Calibrate the sound to prevent harshness, especially when playing piano tracks."
"56","303","20","Enhance the clarity of the vocal track."
"57","10","14","Adjust the sound balance for a comforting effect."
"58","302","22","Ensure the audio has a rich and engaging sound profile."
"59","446","29","Balance the audio to ensure the backing vocals are not overshadowed by the lead vocals."
"60","175","13","Adjust the sound so I can hear the instructions better."
"61","278","1","I want a full, rich sound."
"62","5","11","Enhance the depth and power of the bass."
"63","13","15","Provide clear and distinct audio playback for music."
"64","331","12","Calibrate the sound to prevent harshness, especially when playing piano tracks."
"65","258","20","Enhance the clarity of the vocal track."
"66","421","18","Make the solo more prominent."
"67","263","27","Enhance the clarity of sound to ensure nostalgia is amplified by crisp audio quality."
"68","431","16","Adjust the audio to highlight previously unnoticed instruments."
"69","194","27","Enhance the clarity of sound to ensure nostalgia is amplified by crisp audio quality."
"70","304","17","Increase the separation between instruments and voices to add airiness."
"71","318","28","Ensure the sharpness of the instrument sounds is enhanced."
"72","223","10","Optimize vocal presence for an immersive storytelling experience."
"73","453","29","Balance the audio to ensure the backing vocals are not overshadowed by the lead vocals."
"74","277","19","Enhance the liveliness of the narrator's voice delivery."
"75","11","20","Enhance the clarity of the vocal track."
"76","176","0","Enhance the high-end details in the audio."
"77","305","20","Enhance the clarity of the vocal track."
"78","428","3","Enhance the warmth of the music."
"79","110","15","Provide clear and distinct audio playback for music."
"80","53","18","Make the solo more prominent."
"81","259","26","Ensure the narrator's voice is clear."
"82","339","15","Provide clear and distinct audio playback for music."
"83","411","0","Enhance the high-end details in the audio."
"84","430","28","Ensure the sharpness of the instrument sounds is enhanced."
"85","457","29","Balance the audio to ensure the backing vocals are not overshadowed by the lead vocals."
"86","422","21","Adjust the audio settings to create a feel-good atmosphere."
"87","379","13","Adjust the sound so I can hear the instructions better."
"88","246","18","Make the solo more prominent."
"89","177","22","Ensure the audio has a rich and engaging sound profile."
"90","450","16","Adjust the audio to highlight previously unnoticed instruments."
"91","88","19","Enhance the liveliness of the narrator's voice delivery."
"92","68","24","Ensure the audio has a smooth and soothing character that aids concentration."
"93","35","7","Adjust the sound to emphasize the intricacies of vocal harmonization."
"94","18","19","Enhance the liveliness of the narrator's voice delivery."
"95","275","24","Ensure the audio has a smooth and soothing character that aids concentration."
"96","199","15","Provide clear and distinct audio playback for music."
"97","308","28","Ensure the sharpness of the instrument sounds is enhanced."
"98","422","8","Enhance the definition of audio for a deeper appreciation of the music."
"99","35","12","Calibrate the sound to prevent harshness, especially when playing piano tracks."
"100","497","16","Adjust the audio to highlight previously unnoticed instruments."
